"Index","AI","MT","MC","OR","RMS","KER","ML","PUB","RNO","VIV","BN","RI","CA","TTE","BNP","CS","GLE","ACA","SAN","EL","ERF","SU","AIR","DG","SAF","SGO","LR","HO","EDEN","TEP","EN","ALO","CAP","DSY","STMPA","ORA","ENGI","VIE","URW","STLAP"
"2021-07-12",129.572738647461,29.7751274108887,634.978698730469,354.320251464844,1228.01721191406,673.263061523438,30.4708118438721,44.3222923278809,31.5318584442139,10.4929819107056,53.7360801696777,169.074279785156,14.5194988250732,31.3550128936768,40.5061721801758,18.1422710418701,20.8199462890625,9.08928203582764,79.009880065918,144.738143920898,99.8377914428711,130.468612670898,108.394828796387,82.7154769897461,113.813453674316,53.0676307678223,84.8760299682617,83.1216278076172,45.9349937438965,324.933837890625,26.9565830230713,36.6107864379883,160.241302490234,42.4936332702637,31.7727317810059,7.83002614974976,8.97297668457031,22.3465175628662,75.17,13.077896
"2021-07-13",129.971054077148,29.1903610229492,639.459777832031,354.461883544922,1242.23950195312,680.955383300781,30.4597148895264,44.9895439147949,30.9779148101807,10.530270576477,53.7720947265625,170.186614990234,14.537335395813,31.1207046508789,40.3395118713379,18.096549987793,20.6184635162354,8.94716644287109,78.9476013183594,145.719604492188,97.6515579223633,130.638488769531,107.467384338379,81.9090194702148,111.921112060547,53.5144157409668,85.7779693603516,82.8227615356445,45.727912902832,326.866851806641,27.2272453308105,35.0508041381836,160.431442260742,42.902229309082,31.8414115905762,7.85288238525391,8.95601749420166,22.244556427002,73.44,12.896853
"2021-07-14",129.901779174805,29.6121597290039,640.317749023438,355.405853271484,1245.18200683594,687.36572265625,30.3043632507324,45.2898139953613,30.5958824157715,10.5078964233398,53.7270736694336,170.325653076172,14.4526090621948,31.0495777130127,40.5855293273926,18.1339588165283,20.7108097076416,9.0012321472168,78.8942184448242,145.812210083008,97.9584045410156,129.090682983398,107.216209411621,80.6724624633789,112.428337097168,53.1314544677734,85.1521301269531,82.3744735717773,45.8314514160156,325.302032470703,26.8973712921143,35.1775588989258,160.003631591797,43.1139068603516,32.587043762207,7.8316593170166,8.95139312744141,22.1850776672363,72.93,12.903206
"2021-07-15",129.590057373047,29.8614044189453,632.309143066406,352.668334960938,1244.69165039062,677.4755859375,30.1601104736328,44.3723373413086,29.9273281097412,10.504168510437,52.9797401428223,169.769500732422,14.399097442627,30.6646423339844,40.2522087097168,18.0923938751221,20.782169342041,8.93017482757568,77.5417938232422,142.627059936523,97.4789657592773,128.392272949219,106.655876159668,79.3731689453125,110.184837341309,53.1770477294922,84.9128341674805,81.5525817871094,45.2572631835938,325.025848388672,26.8127918243408,35.0995559692383,158.482498168945,42.7742309570312,31.9248046875,7.78023099899292,8.8311357498169,21.8282165527344,70.38,12.715811
"2021-07-16",128.983932495117,28.2988338470459,623.823669433594,353.612274169922,1226.05554199219,670.149597167969,29.882698059082,44.0387115478516,29.5739498138428,10.4407768249512,53.2768707275391,170.742782592773,14.4838228225708,30.3633975982666,39.5855751037598,17.9718627929688,20.2700672149658,8.84366798400879,78.1824188232422,140.96044921875,97.8241577148438,126.655723571777,106.887733459473,79.9197616577148,110.750595092773,52.3564109802246,84.4710693359375,81.7954177856445,45.8408622741699,325.2099609375,27.0411624908447,34.7290573120117,158.625106811523,42.9268379211426,31.5617980957031,7.83084297180176,8.9591007232666,22.1595897674561,72.71,12.464893
"2021-07-19",127.165550231934,27.8291034698486,610.094421386719,352.243530273438,1208.400390625,651.834411621094,29.4277477264404,42.2204437255859,28.4899387359619,10.2804374694824,52.6375846862793,167.081359863281,14.0735673904419,29.1960601806641,37.9269142150879,17.4564800262451,19.3424034118652,8.5702486038208,77.2036972045898,137.57160949707,100.470642089844,124.258522033691,100.067169189453,76.7745895385742,105.190620422363,50.5510177612305,82.8328170776367,79.0122528076172,44.6077728271484,320.699584960938,26.4067916870117,34.2708206176758,156.486022949219,42.961296081543,30.767110824585,7.64390754699707,8.65537643432617,21.6667747497559,67.42,12.002761
"2021-07-20",127.927528381348,28.9411182403564,615.052185058594,355.594635009766,1216.24694824219,658.610961914062,29.5830955505371,42.9544258117676,28.7191562652588,10.269250869751,52.6826057434082,167.915603637695,13.979923248291,29.1751403808594,38.6451416015625,17.6310424804688,19.619441986084,8.69846153259277,77.488410949707,138.553085327148,97.4214324951172,125.844062805176,102.405090332031,77.1150894165039,108.155937194824,51.1619338989258,83.9740676879883,80.1329956054688,44.8807487487793,320.699584960938,26.5167503356934,35.138557434082,158.530044555664,42.5083999633789,30.521842956543,7.64717245101929,8.55053806304932,21.5733108520508,69.47,12.05358
"2021-07-21",129.261016845703,30.1777515411377,628.495422363281,357.907348632812,1233.41186523438,665.662353515625,30.0158576965332,45.0729522705078,29.9989585876465,10.4445056915283,53.096794128418,169.584091186523,14.011137008667,29.9533653259277,39.8633422851562,17.9884872436523,20.2658672332764,8.97806072235107,77.4350280761719,140.664138793945,96.0598297119141,127.561767578125,106.887733459473,78.7369613647461,113.072120666504,52.1740493774414,85.0232772827148,82.4865493774414,45.8314514160156,320.883666992188,27.0411624908447,35.7625465393066,158.86279296875,42.577320098877,31.718770980835,7.74268102645874,8.61991596221924,22.0066471099854,72.51,12.450601
"2021-07-22",129.243682861328,30.4653434753418,629.639465332031,357.954559326172,1237.82568359375,666.486450195312,30.1268215179443,45.1897239685059,29.5261974334717,10.6272201538086,51.9802932739258,170.279312133789,14.0601902008057,29.8236560821533,39.6649322509766,18.0923938751221,20.1735229492188,8.91781520843506,77.8798980712891,141.923370361328,98.130989074707,129.675827026367,105.805717468262,79.2208480834961,111.687004089355,52.8123207092285,85.9620590209961,82.9721908569336,47.0457153320312,329.168090820312,26.9904136657715,35.4115524291992,162.19026184082,43.6652603149414,31.6697196960449,7.72390508651733,8.72321319580078,22.1935768127441,72.22,12.363256
"2021-07-23",130.369354248047,30.7912769317627,642.606079101562,365.36474609375,1263.32775878906,684.618408203125,30.6261615753174,45.7068405151367,29.8127193450928,10.6123046875,52.3944778442383,172.735702514648,14.220724105835,29.8194751739502,40.1331672668457,18.096549987793,20.5429077148438,9.01513481140137,78.3603668212891,143.627044677734,98.66796875,132.299545288086,107.718559265137,80.7799911499023,113.540336608887,53.8244323730469,86.2565689086914,83.5699310302734,47.7987480163574,331.929565429688,27.4048728942871,36.0550422668457,163.806457519531,43.7686424255371,32.5919456481934,7.77451705932617,8.83730220794678,22.2870388031006,72.08,12.485538
"2021-07-26",129.157119750977,32.296329498291,642.033996582031,362.013641357422,1255.97131347656,684.34375,30.0158576965332,46.2740097045898,30.123119354248,10.5638303756714,52.2414093017578,171.252593994141,14.1984281539917,30.5098419189453,41.0378913879395,18.2046146392822,20.9080963134766,9.17115306854248,77.9243927001953,142.497451782227,96.5584335327148,132.129669189453,108.201614379883,80.654541015625,113.364761352539,53.9794425964355,85.8147964477539,84.4104766845703,48.062313079834,328.339630126953,27.4302444458008,35.6748008728027,164.091659545898,43.6898727416992,32.7194938659668,7.85533237457275,8.85426235198975,22.5249500274658,74.02,12.625291
